biomarker,clinical_factor,test,statistic,pvalue,n_groups,groups,medians,n_samples
Ki67,larynxpharynx,Mann-Whitney U,3895.0,1.1050429173249502e-17,2,"['Larynx', 'Pharynx']","[np.float64(0.4462068178043473), np.float64(0.727894813363509)]",308
CD3e,larynxpharynx,Mann-Whitney U,3948.0,2.087838673116761e-17,2,"['Larynx', 'Pharynx']","[np.float64(0.29248236155558804), np.float64(0.4722732271789837)]",308
CD3e,hpvstatus,Kruskal-Wallis,57.889894296451644,2.6876281087688066e-13,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.3176508795175637), np.float64(0.36497428063676635), np.float64(0.5136122552643878)]",308
CD8,larynxpharynx,Mann-Whitney U,4930.0,1.0456065262626414e-12,2,"['Larynx', 'Pharynx']","[np.float64(0.44758976425420555), np.float64(0.7347092604048258)]",308
HLA-DR,larynxpharynx,Mann-Whitney U,5024.0,2.676177294219701e-12,2,"['Larynx', 'Pharynx']","[np.float64(0.4244744337918451), np.float64(0.6053884841277427)]",308
CD45RA,larynxpharynx,Mann-Whitney U,5056.0,3.6711220766037136e-12,2,"['Larynx', 'Pharynx']","[np.float64(0.29225469793557657), np.float64(0.4039767017635987)]",308
CD8,hpvstatus,Kruskal-Wallis,50.906265946817484,8.82764383380325e-12,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.45848190842598013), np.float64(0.5478103830182101), np.float64(0.8062842471942544)]",308
CD45RA,hpvstatus,Kruskal-Wallis,45.98073792265791,1.036118965296032e-10,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.29478942713778566), np.float64(0.3464924888170701), np.float64(0.44399584602538655)]",308
Ki67,hpvstatus,Kruskal-Wallis,45.33008426612287,1.4344891558517947e-10,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.5065828088144311), np.float64(0.5293733527356784), np.float64(0.773057968880045)]",308
CD4,larynxpharynx,Mann-Whitney U,5635.0,8.005962678084919e-10,2,"['Larynx', 'Pharynx']","[np.float64(0.36081180418393743), np.float64(0.44235084307745526)]",308
ICOS,larynxpharynx,Mann-Whitney U,5734.0,1.886911800201114e-09,2,"['Larynx', 'Pharynx']","[np.float64(0.24422137080469997), np.float64(0.2675090360933191)]",308
CD45RO,survival_status,Mann-Whitney U,6133.0,1.9765846979508694e-09,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.5156046206130298), np.float64(0.6891893359654824)]",308
CD45RO,larynxpharynx,Mann-Whitney U,5784.0,2.8890313322311905e-09,2,"['Larynx', 'Pharynx']","[np.float64(0.492700619955046), np.float64(0.6847252095917973)]",308
PD1,larynxpharynx,Mann-Whitney U,5873.0,6.095294275080604e-09,2,"['Larynx', 'Pharynx']","[np.float64(0.23157346310839474), np.float64(0.2418330523627472)]",308
CD45RO,hpvstatus,Kruskal-Wallis,36.15936208408766,1.4063528216403339e-08,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.5297675175985771), np.float64(0.6068429593422997), np.float64(0.7111491617220267)]",308
CD45,larynxpharynx,Mann-Whitney U,6102.0,3.8863531197892164e-08,2,"['Larynx', 'Pharynx']","[np.float64(0.5793834432007363), np.float64(0.7360706776557493)]",308
GranzymeB,larynxpharynx,Mann-Whitney U,6194.0,7.956558772594809e-08,2,"['Larynx', 'Pharynx']","[np.float64(0.24317771828315776), np.float64(0.2672980153291794)]",308
ICOS,hpvstatus,Kruskal-Wallis,31.68137978943389,1.3197017396306468e-07,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.24544852599766726), np.float64(0.25935857952267305), np.float64(0.2713824473506503)]",308
CD4,hpvstatus,Kruskal-Wallis,31.320443517806098,1.580709650446478e-07,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.36299296489968974), np.float64(0.4218112111363636), np.float64(0.45241465873802655)]",308
HLA-DR,hpvstatus,Kruskal-Wallis,28.430641773889192,6.704471983804583e-07,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.45812081351029965), np.float64(0.5318200744684386), np.float64(0.6121523942924154)]",308
CD11c,larynxpharynx,Mann-Whitney U,6505.0,7.974340403040655e-07,2,"['Larynx', 'Pharynx']","[np.float64(0.25343006422949244), np.float64(0.27205133083043365)]",308
CD20,larynxpharynx,Mann-Whitney U,6514.0,8.501448542867963e-07,2,"['Larynx', 'Pharynx']","[np.float64(0.3417935893217816), np.float64(0.4143595991667942)]",308
CD3e,alcoholhx,Kruskal-Wallis,32.833734546913774,1.291859178836007e-06,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.3523235244787576), np.float64(0.39813017794157973), np.float64(0.38543573750873494), np.float64(0.4107856476370165), np.float64(0.6094199230245574)]",308
HLA-DR,survival_status,Mann-Whitney U,7100.0,2.754864960345511e-06,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.45340840808314087), np.float64(0.5891172518804708)]",308
PD1,hpvstatus,Kruskal-Wallis,24.178513836814318,5.619561520267785e-06,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.2329494477705828), np.float64(0.23452476964392535), np.float64(0.24276874173470292)]",308
CD3e,survival_status,Mann-Whitney U,7220.0,6.023661955062984e-06,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.3523235244787576), np.float64(0.4476149515799337)]",308
CD20,hpvstatus,Kruskal-Wallis,23.77787869219128,6.8659280229535795e-06,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.3417429191712013), np.float64(0.40306480448206006), np.float64(0.42014435372692793)]",308
Ki67,smokinghx,Kruskal-Wallis,23.5257348495079,7.788459861490781e-06,3,"[np.float64(2.0), np.float64(1.0), np.float64(0.0)]","[np.float64(0.5551268925412042), np.float64(0.5748008349035442), np.float64(0.8218727765897682)]",308
GranzymeB,hpvstatus,Kruskal-Wallis,23.131448353761925,9.485709292969048e-06,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.24605124335698692), np.float64(0.2590947583207225), np.float64(0.2689843433004831)]",308
CD20,survival_status,Mann-Whitney U,7342.0,1.3000082694985783e-05,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.34302525811197143), np.float64(0.41083359172036654)]",308
CD8,survival_status,Mann-Whitney U,7362.0,1.4710435483660805e-05,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.5170276297829307), np.float64(0.6958754662502169)]",308
CD45RA,survival_status,Mann-Whitney U,7439.0,2.3519735405183045e-05,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.31205649293957405), np.float64(0.38148318773489936)]",308
CD4,alcoholhx,Kruskal-Wallis,26.54234112535562,2.459594158308794e-05,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.38978167371774547), np.float64(0.42028699768891076), np.float64(0.3874918000677546), np.float64(0.4065907044301831), np.float64(0.509086337358804)]",308
CD11c,hpvstatus,Kruskal-Wallis,20.283957066539756,3.939078968727486e-05,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.25586932383042393), np.float64(0.2662186811817125), np.float64(0.27309585202263525)]",308
Podoplanin,hpvstatus,Kruskal-Wallis,19.65310840502707,5.399850470057247e-05,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.44700386615281384), np.float64(0.5713995539040767), np.float64(0.4159014615617235)]",308
CD16,hpvstatus,Kruskal-Wallis,19.41428262598663,6.084740939909932e-05,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.24259147847597595), np.float64(0.267035387984456), np.float64(0.2481981577533136)]",308
CD4,survival_status,Mann-Whitney U,7603.0,6.171857189136245e-05,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.3838923063776071), np.float64(0.4316478558832392)]",308
CD8,alcoholhx,Kruskal-Wallis,24.192734565004457,7.307440440727154e-05,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.47401177984319864), np.float64(0.57229162808202), np.float64(0.5980869422855111), np.float64(0.5939833699056247), np.float64(0.8743437449667588)]",308
CD45RO,alcoholhx,Kruskal-Wallis,24.103252524363143,7.615700309410463e-05,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.5488593701326765), np.float64(0.6021319490466264), np.float64(0.5663535740109438), np.float64(0.6127959084087291), np.float64(0.744939705123723)]",308
HLA-DR,alcoholhx,Kruskal-Wallis,23.536301525099248,9.892021774719466e-05,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.46033998194038767), np.float64(0.5600309452806642), np.float64(0.5206997854423937), np.float64(0.575822004543595), np.float64(0.6329166586293273)]",308
CD20,alcoholhx,Kruskal-Wallis,23.20030399143252,0.0001154765454085827,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.34418582893459954), np.float64(0.37247795226258495), np.float64(0.33898493272318514), np.float64(0.3899137741227227), np.float64(0.448602939613023)]",308
CD45RA,alcoholhx,Kruskal-Wallis,22.513203317010266,0.00015837626123171855,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.3045819873291675), np.float64(0.3468381883004138), np.float64(0.34119324362782444), np.float64(0.33557866638532), np.float64(0.4963901406342547)]",308
ICOS,survival_status,Mann-Whitney U,7781.0,0.00016672065351072864,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.24869770345368913), np.float64(0.2654504971943888)]",308
CD117,hpvstatus,Kruskal-Wallis,17.31528072258004,0.00017379391429845636,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.2473719898642534), np.float64(0.2724404711998846), np.float64(0.25653357401811516)]",308
CD69,hpvstatus,Kruskal-Wallis,16.72387158639299,0.00023359171057396323,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.31073975677061677), np.float64(0.3674909232794924), np.float64(0.2974267315867884)]",308
CD45,hpvstatus,Kruskal-Wallis,16.556486899629476,0.0002539829422200708,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.6056506738354979), np.float64(0.624481782590432), np.float64(0.7360706776557493)]",308
CD38,hpvstatus,Kruskal-Wallis,15.834833885841249,0.0003643422288352592,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.24331375332853025), np.float64(0.2671937109806749), np.float64(0.2463774414311932)]",308
CD45RO,smokinghx,Kruskal-Wallis,15.44367263077595,0.0004430462837489533,3,"[np.float64(2.0), np.float64(1.0), np.float64(0.0)]","[np.float64(0.5672755123113253), np.float64(0.6462629041082021), np.float64(0.7440327175022778)]",308
CD56,hpvstatus,Kruskal-Wallis,14.938152676625009,0.0005704549610023992,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.2716187351331361), np.float64(0.3075260453827751), np.float64(0.28294506583360557)]",308
PDL1,larynxpharynx,Mann-Whitney U,7584.0,0.0005886606074467475,2,"['Larynx', 'Pharynx']","[np.float64(0.2343421230960125), np.float64(0.23926673313855032)]",308
GranzymeB,survival_status,Mann-Whitney U,8106.0,0.0008874073412078539,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.24872000136068764), np.float64(0.2639925246922832)]",308
CollagenIV,alcoholhx,Kruskal-Wallis,18.632118006721726,0.0009281128789633327,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.26312520825745683), np.float64(0.2903175568192615), np.float64(0.2575795122790088), np.float64(0.2773193785371081), np.float64(0.2647798913502712)]",308
Podoplanin,alcoholhx,Kruskal-Wallis,18.211604023381028,0.0011219440985328866,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.5089712080725161), np.float64(0.46276754273686715), np.float64(0.3508524781495045), np.float64(0.45401484373082224), np.float64(0.468059905577237)]",308
PDL1,hpvstatus,Kruskal-Wallis,12.899116142788102,0.0015812208010563512,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.23469804062272542), np.float64(0.23961148518205652), np.float64(0.23949699651248063)]",308
CD34,hpvstatus,Kruskal-Wallis,12.74955315310774,0.001704000466932091,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.2902495791554524), np.float64(0.339924013677531), np.float64(0.3186321865395818)]",308
Ki67,survival_status,Mann-Whitney U,8253.0,0.001780300683561903,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.5537395307986606), np.float64(0.6609791848258734)]",308
CD117,smokinghx,Kruskal-Wallis,12.329847868137108,0.0021018782398351155,3,"[np.float64(2.0), np.float64(1.0), np.float64(0.0)]","[np.float64(0.24931785772003354), np.float64(0.26397519724223406), np.float64(0.25178893033675326)]",308
FoxP3,hpvstatus,Kruskal-Wallis,11.983099247399082,0.00249978731756838,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.3015249431714453), np.float64(0.3424669296795389), np.float64(0.3067900973539929)]",308
CD14,larynxpharynx,Mann-Whitney U,7886.0,0.002551430371521882,2,"['Larynx', 'Pharynx']","[np.float64(0.4018585104596891), np.float64(0.4829535521902357)]",308
CD34,larynxpharynx,Mann-Whitney U,7905.0,0.0027827051888257627,2,"['Larynx', 'Pharynx']","[np.float64(0.2942140654475709), np.float64(0.3173861902751443)]",308
ICOS,alcoholhx,Kruskal-Wallis,16.13834793081628,0.0028390301582585844,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.2544527875011945), np.float64(0.2561885445048875), np.float64(0.24958406068549), np.float64(0.25791111381896153), np.float64(0.2722717145294422)]",308
CD68,alcoholhx,Kruskal-Wallis,15.37254989283997,0.003987739464687846,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.39629440862833354), np.float64(0.4328679992827678), np.float64(0.3801819743491852), np.float64(0.40583008594892767), np.float64(0.4226333070658855)]",308
CD57,hpvstatus,Kruskal-Wallis,10.970182787135172,0.0041481559471874775,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.28117240067360255), np.float64(0.30163501565595857), np.float64(0.2862880962298504)]",308
CD49f,hpvstatus,Kruskal-Wallis,10.840336843182286,0.004426401083535185,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.3390457001466679), np.float64(0.39656533967575225), np.float64(0.3292916007362543)]",308
CD152,larynxpharynx,Mann-Whitney U,8011.0,0.004462184713376521,2,"['Larynx', 'Pharynx']","[np.float64(0.22856155666166433), np.float64(0.23197057905977095)]",308
p16,hpvstatus,Kruskal-Wallis,10.819911959931119,0.004471837057436998,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.23370045093638048), np.float64(0.24528497803470253), np.float64(0.24032568775744975)]",308
Ki67,alcoholhx,Kruskal-Wallis,14.903692929297335,0.004905189608109501,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.5209236149972306), np.float64(0.5495018794523276), np.float64(0.7473919187644598), np.float64(0.7200029100253087), np.float64(0.6098250298523847)]",308
CD11c,smokinghx,Kruskal-Wallis,10.53573149908766,0.005154600049218069,3,"[np.float64(2.0), np.float64(1.0), np.float64(0.0)]","[np.float64(0.2632555642885038), np.float64(0.2662186811817125), np.float64(0.27619616913387135)]",308
PD1,alcoholhx,Kruskal-Wallis,14.596416924014193,0.005615813517102896,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.23425516558206796), np.float64(0.2371155970446776), np.float64(0.23490592101061644), np.float64(0.23747793024672403), np.float64(0.24470118115839243)]",308
CD4,smokinghx,Kruskal-Wallis,10.179325382051843,0.006160097392900359,3,"[np.float64(2.0), np.float64(1.0), np.float64(0.0)]","[np.float64(0.3944991674705747), np.float64(0.4308674839629428), np.float64(0.45843056775740243)]",308
aSMA,survival_status,Mann-Whitney U,12524.0,0.007670475227845858,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.35996811814839247), np.float64(0.3070900201661112)]",308
p16,larynxpharynx,Mann-Whitney U,8144.0,0.007844320337823257,2,"['Larynx', 'Pharynx']","[np.float64(0.23347604557721108), np.float64(0.24068001135393)]",308
CD134,hpvstatus,Kruskal-Wallis,9.436610895341346,0.008930298592249796,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.2371568170660397), np.float64(0.24898270420207255), np.float64(0.2441809799321581)]",308
